title,source_name,url,description,content,publishedAt,full_content,summary,sentiment,KNN Cluster,Hierarchical Cluster,GMM Cluster,sentiment_score
bond markets could see mini boom bust cycles global government debt soar 5 trillion year,Business Insider,https://markets.businessinsider.com/news/bonds/bond-markets-global-debt-boom-bust-cycle-iif-fixed-income-2023-11,abrupt surge government expenditures global election cycle could increase interest burden many sovereign debtors,wsmahar getty images ul li global bond markets face mini boom bust cycles institute international finance said li li growing deficits made extreme next year e 2243 chars,2023-11-16T20:49:44Z,"       Surging deficits and an unrestrained rise in global debt could unleash new volatility in fixed-income markets, the Institute of International Finance forecast in a Thursday note.  Between 2024 and 2027, government overspending is expected to add $5.3 trillion per year to international debt, at a time when higher-for-longer interest rates are already skewing investor sentiment.  This could trigger 'mini boom-bust cycles' to become a larger theme in fixed income, the institute said. It's the sort of volatility US Treasurys recently underwent, as worries of increased government borrowing helped fuel last month's massive bond sell-off.  Higher deficits aren't limited to the US, and a number of government budgets are becoming constrained by a higher share of interest expenses, such as Egypt, India, Malaysia, Pakistan, South Africa, and Turkey. But the trend could also accelerate as over 50 countries are headed into an election season in 2024, the note added. Currently ruling parties may face increased difficulty amid rising private sector debt woes, and worsening geopolitical conditions.  ""If upcoming elections lead to populist policies aimed at controlling social tensions, the result could be still more government borrowing and still less fiscal restraint,"" it said, adding, ""An abrupt surge in government expenditures during this global election cycle could further increase the interest burden for many sovereign debtors—from already high levels.""  In 2023, global government debt jumped to $88.1 trillion, an 8% increase from a year earlier.  Meanwhile, though the global debt-to-GDP ratio — a measure of whether international growth is keeping up with increasing debt — remained relatively stable at 333%, this varied by geography.   The debt ratio in emerging markets hit an all-time high of 255%. The surge was more evident in countries such as Russia, China, and Saudi Arabia, the institute said. ""Looking ahead, we anticipate the global debt ratio to resume its upward trend as global growth momentum remains weak, and inflationary pressures continue to ease,"" it noted. 
                          Read next
                        ","government overspending is expected to add $5.3 trillion per year to international debt. this could trigger'mini boom-bust cycles' to become a larger theme in fixed income. higher deficits aren't limited to the US, and a number of government budgets are constrained.",negative,Environment,Finance,Technology,1
ellen johnson sirleaf forging new path next generation women leaders,Time,https://time.com/6333021/ellen-johnson-sirleaf-time100-impact-awards/,nobel prize laureate former president liberia fosters women public service leadership amujae initiative,ellen johnson sirleaf wouldnt want women follow footsteps doesnt mean wont encourage run office wishes could less arduous th 4042 chars,2023-11-09T12:59:48Z,"Ellen Johnson Sirleaf wouldn’t want other women to have to follow in her footsteps. That doesn’t mean she won’t encourage them to run for office. It’s just that she wishes it could be less arduous for those who come next. When she ascended to the presidency of Liberia in 2006—becoming Africa's first democratically-elected female head of state—she faced deep-seated misogyny, exile, and prison. “My journey to the presidency was not an easy one,” Sirleaf says. “When I work for the promotion of women to higher positions, I do so in recognition of the fact that I would not want any woman to have the experiences I had because of her ambition.”  Nonetheless, the Nobel Peace Prize laureate is setting Africa’s next generation of female leaders on the path to power, knowing that while the climb is steep, the summit is worth it—not just for the women who lead, but for all those they represent. “Women bring another dimension to leadership,” she says. “They settle conflict rather than fight to resolve it. That does not take away from the application of the strength of authority when required, but when they can find an alternative route to peace, they seek it.” Sirleaf has been a relentless advocate for peace, democracy, and women’s empowerment since she first took public office as Liberia’s Finance Minister in 1979. As president, she deftly steered her country through its tumultuous post-civil war period, mobilizing more than $16 billion in foreign direct investment, lifting trade sanctions, and setting a trajectory for growth, despite the 2014 Ebola outbreak that claimed more than 5,000 lives. Early in her first term, she made education free and compulsory for elementary-age children, acting on her belief that a strong democracy requires an educated populace. She also appointed women to several high-ranking cabinet positions, including the ministries of finance, law, commerce, and development, setting examples for the next generation of Liberia’s female leaders. In 2011, she was awarded the Nobel Peace Prize alongside fellow Liberian Leymah Gbowee and Yemeni activist Tawakkol Karman for their work amplifying women’s role in peacebuilding efforts. Then, after concluding her constitutionally-limited second presidential term in 2018, she stepped down peacefully—the first Liberian president to do so in 75 years. Having recently turned 85, Sirleaf is applying the same degree of ambition, pragmatism and determination that defined her presidency—she came by her nickname, the Iron Lady of Africa, for a reason—to cultivate a new generation of African women leaders. “I don't accept the reports coming out of the U.N. that it will take us 130 years to achieve gender equality [at the highest levels of power],” she says. “The pace of women achieving higher levels is not fast enough. But it has gathered a momentum that is irreversible.” That momentum is possible in part due to her efforts. Sirleaf’s Amujae Initiative, the flagship program of the Ellen John Sirleaf Presidential Center for Women and Development, fosters women’s public service leadership through training, mentorships, coaching and the sharing of experience. Nearly 50 women, drawn from all sectors of African society, have participated in the program since its 2020 launch, strengthening a growing network of capable, committed women in public service who are already positively influencing the perception of female leaders across the continent. “I doubt if women today will go through the extent of the difficulties I faced,” she says, “but they will be prepared—they must be prepared—to accept the fact that the world has not yet accepted the full equality of women.” The only way to overcome it, she says, is to see even more women in power.  For all her accomplishments and accolades, Sirleaf says the most important title she has is that of role model. “Despite the difficulties, I have no regrets. Today, I go into a room and young women come up to me and say, ‘I want to be like you.’” Now, she is ensuring they can be.This profile is published as a part of TIME’s TIME100 Impact Awards initiative, which recognizes leaders from across the world who are driving change in their communities. The next TIME100 Impact Awards ceremony will be held on Nov. 17 in Kigali, Rwanda.","the Nobel Peace Prize laureate is setting africa's next generation of female leaders on the path to power. she has been a relentless advocate for peace, democracy, and women’s empowerment since she first took public office as liberia’s finance minister in 1979. in 2011, she was awarded the Nobel Peace Prize alongside fellow liberian leymah Gbowee and Yemeni activist Tawakkol Karman.",very positive,Environment,Politics,Entertainment,4
publicis names new finance chief,Biztoc.com,https://biztoc.com/x/953a69a2e301e611,publicis group appointed loris nold current head operations europe middle east africa chief financial officer replacing michel alain proch paris based advertising group said proch joined company 2021 step,publicis group appointed loris nold current head operations europe middle east africa chief financial officer replacing michel alain proch paris based advertising g 275 chars,2023-11-16T08:26:06Z,publicis names new finance chief publicis group appointed loris nold current head operations europe middle east africa chief financial officer replacing michel alain proch paris based advertising group said proch joined company 2021 step publicis group appointed loris nold current head operations europe middle east africa chief financial officer replacing michel alain proch paris based advertising g 275 chars,publicis names new finance chief publicis group appointed loris nold current head operations europe middle east africa chief financial officer replacing michel alain proch paris based advertising group said proch joined company 2021 step publicis group appointed.,very negative,Other,Politics,Finance,0
africa make diaspora finance,Project Syndicate,https://www.project-syndicate.org/commentary/increasing-impact-of-diaspora-remittances-in-africa-by-tsitsi-masiyiwa-2023-10,remittances african diaspora might lack structure formality traditional philanthropy play central role keeping people poverty advancing community prosperity formal donors seeking ways amplify imp,remittances african diaspora might lack structure formality traditional philanthropy play central role keeping people poverty advancing community prosperit 5753 chars,2023-10-30T12:00:40Z,"Remittances by the African diaspora might lack the structure and formality of traditional philanthropy, but they play a central role in keeping people out of poverty and advancing community prosperity. Formal donors should be seeking ways to amplify their impact.  LONDON – The African diaspora is the biggest funder of change on the continent. Since remittances are informal, often unreported, and narrowly targeted, they tend to be overlooked. But their scale is large, sustained by diasporic Africans’ powerful commitment to improve the lot of family members and communities they love. Formal givers like me should not only learn from this, but also seek opportunities to collaborate with the diaspora to strengthen its members’ impact.   In 2022, the 160 million Africans who live outside of the continent sent home more than $95 billion in remittances. Of that, about $53 billion went to countries in Sub-Saharan Africa, with Nigeria, Ghana, Kenya, and Zimbabwe the top destinations. This compares with $30 billion in foreign direct investment and just $29 billion in official development aid for Sub-Saharan Africa.   Notably, FDI and aid declined last year, as global challenges, such as surging inflation and the Ukraine war, caused donors to reduce or redirect their giving. But remittances increased for many of the same reasons: Africans in the diaspora knew that their families and communities were grappling with food insecurity, as well as natural disasters like floods and severe drought.  To continue reading, register now.   
                    Subscribe now for unlimited access to everything PS has to offer.
                 
Subscribe
 
            
                As a registered user, you can enjoy more PS content every month – for free.
            
             
Register
 
             Already have an account?

            Log in
 
Take Survey
 
                                 Writing for PS since 2023 
2 Commentaries
 Tsitsi Masiyiwa, Chair of Co-Impact and the END Fund, is Founder and Chair of the Higherlife Foundation and Delta Philanthropies. Before posting a comment, please confirm your account. To receive another confirmation email, please click here.","the african diaspora is the biggest funder of change on the continent. remittances are informal, often unreported, and narrowly targeted. but their scale is large, sustained by diasporic Africans’ commitment to improve the lot of family members.",positive,Environment,Politics,Technology,3
cop28 must repeat mistakes africa climate summit,Al Jazeera English,https://www.aljazeera.com/opinions/2023/11/18/cop28-must-not-repeat-the-mistakes-of-the-africa-climate-summit,lobbyists big emitters global north must allowed push false solutions cop28,late november 2023 united nations climate change conference cop28 launched dubai coming end year broke multiple heat records event supposed set 4887 chars,2023-11-18T13:07:34Z,"Lobbyists for big emitters in the Global North must not be allowed to push false solutions on COP28. In late November, the 2023 United Nations Climate Change Conference (COP28) will be launched in Dubai. Coming at the end of a year which broke multiple heat records, the event is supposed to set the stage for a major push to reduce greenhouse gas emissions and boost climate change adaptation globally. But ahead of the conference, there have already been warnings from climate activists and civil society that unless there is a marked change in the approach to climate policies, COP28 could fail to deliver any meaningful progress. In the Global South, there is persistent worry that wealthy nations and international corporations will push for policies that allow them to continue business as usual, with poorer nations, which are the least responsible for climate change, bearing the brunt of the climate crisis. Such tendencies have already been observed at previous climate events, including most recently at the Africa Climate Summit held in Nairobi in early September. The conference, which gathered thousands of representatives from governments, businesses, international organisations and civil society, was a chance for African peoples to agree on a common position on issues such as loss and damage compensation, climate mitigation and climate finance ahead of COP28. But the final document issued by the summit – the Nairobi Declaration – did not reflect a consensus and the best interest of African nations. This is not surprising, given that lobbyists for Global North countries and corporations were given the space and high-level access to push for false solutions. Meanwhile, many of the delegates – activists and members of civil society calling for clarity and solutions to support our continent ­– faced access difficulties during proceedings and were left feeling sidelined. As a result, instead of pushing for policies that would see the Global North compensate African nations for its historic greenhouse gas emissions, which have catalysed global warming, the summit embraced policies that will further hurt African nations. Its declaration focused heavily on – and legitimised – problematic practices like carbon credits, offsetting, and trading. These are false solutions and they are not what Africa needs. They constitute a neocolonial tactic that allows the Global North to continue to emit greenhouse gases whilе retaining control over African land and people and taking the credit for African emissions reductions. Carbon trading is based on the idea that emissions of carbon dioxide in one place can be “offset” by expanding carbon capture activities in another, such as planting new trees or protecting forests to allow for their natural regeneration. This allows the big carbon emitters of the Global North to pay nature-rich countries in the Global South to preserve or expand forested areas. But a lot of these areas are inhabited by local people who use forests and land for their livelihoods and food. Carbon trading schemes effectively banish the people from their homelands and dispossess them of their rights in the name of preservation and carbon capture. It has already been well-documented that such schemes are failing to address rising carbon emissions and enable the greenwashing of rich corporations and nations who refuse to reduce their emissions. If carbon trading is not the solution, then how can the Global North support African countries to finance loss and damage, adaptation and mitigation? Cap and share is one alternative model that is gaining popularity among climate activists and civil society. The system centres around an international carbon tax that would make polluters – including fossil fuel extractors and major consumers – in the Global North pay. This tax, applied to fossil fuel extraction, would raise trillions of dollars a year for a global Green New Deal fund, which would finance the transition to renewables and support energy access for all. The fund’s income would also provide grants for loss and damage, adaptation and mitigation in the Global South, as well as universal cash transfers to support ordinary people. Cap and share would establish a taxation system that operates beyond the nation-state; doing so is key for climate justice and in many ways, it is long overdue. Modelling suggests that the economic effects of a global carbon tax would be highly progressive, with Africa seeing substantial gains, including the permanent eradication of extreme poverty in all participating nations. This policy can be applied along with universal basic income and tax justice measures. As we move towards COP28, the mistakes of the Africa Climate Summit and other similar climate events should not be repeated. The voices of climate activists and civil society from the Global South need to be heard. We say no to carbon markets. We say no to selling Africa’s carbon, forests, and land to the North. We say yes to climate justice, and to climate finance that comes without strings attached. The views expressed in this article are the author’s own and do not necessarily reflect Al Jazeera’s editorial stance.","in the global south, there is persistent worry that wealthy nations and international corporations will push for policies that allow them to continue business as usual. unless there is a marked change in the approach to climate policies, COP28 could fail to deliver any meaningful progress.",negative,Technology,Technology,Politics,1
pan african financial institution afreximbank poised launch 1b african film fund,Deadline,https://deadline.com/2023/11/pan-african-financial-institution-afreximbank-1-billion-dollar-african-film-fund-1235599337/,cairo based african export import bank also known afreximbank gearing launch 1b african film fund 2024 support continent burgeoning film industry kanayo awani executive vice president afreximbank intra african trade bank,cairo based african export import bank also known afreximbank gearing launch 1b african film fund 2024 support continent burgeoning film industry kanayo awani executiv 3436 chars,2023-11-10T14:20:45Z,"
	Cairo-based African Export-Import Bank, also known as Afreximbank, is gearing up to launch a $1B African Film Fund in 2024 to support the continent’s burgeoning film industry. 
	Kanayo Awani, Executive Vice President of Afreximbank’s Intra-African Trade Bank, announced the initiative in the opening speech of the 2023 Canex (Creative Africa Nexus) Summit in Cairo on Friday. 
	She said the fund would oversee film financing, co-finance with large studios, finance African filmmakers and finance producers and directors of film projects across the continent.





	
	
		
					Related Stories		
	













	News
	



	
		
					All Eyes On Africa: Global Streamers & Local Players Are Toughing It Out In The Next Frontier Of Growth -- Mipcom Cannes Special		
			















	Obituaries
	



	
		
					Peter Spellos Dies: 'American Dream' And 'Transformers' Actor Was 69		
			






 
	Awani noted that Afreximbank had already announced the doubling of financing it was making available to the creative sector in Africa to $1B at the 2022 edition of Canex, and currently had $600M invested in film, music, visual arts, fashion, and sports projects.

	








 
	“The very first film we financed recently premiered at the Toronto Film Festival,” Awani said, adding, “The Bank has several in the pipeline from Nigeria, South Africa, and Kenya, which should be on streaming platforms in 2024.”

 
	Awani said the film and audiovisual industries in Africa currently accounted for $5B of the African continent’s GDP and employed an estimated five million people, with the potential to create over 20 million jobs and generate $20B in revenues annually in the future. 
	She noted, however, that sector faced several challenges, including limited access to financing and copyright infringement due to weak copyright laws, enforcement mechanisms and a lack of awareness. 
	Other issues included infrastructure and technology gaps, lack of capacity and shortage of skilled professionals and limited market access and international exposure, as a result of which African creative and cultural products often struggle to gain exposure and access to international markets. 
	In an earlier address, German-Ghanian actor Boris Kodjoe, whose credits include Grey’s Anatomy and Station 19, told the summit that African creativity was increasingly influential on the world stage but that Africa faced branding challenges due to external perception fuelled by traditional media’s depiction of poverty, famine, civil wars and migration on the continent. 
	He said this could be on the cusp of changing with rising demand for culturally specific global content and quoted statistics suggesting that by 2030, Africa was projected to produce up to 10 per cent of global creative goods export worth roughly $200 billion or 4% of Africa’s GDP.

	








 
	H.E. Albert M. Muchanga, Commissioner for Trade and Industry of the African Union Commission, echoed these sentiments in another address. 
	“I reaffirm my belief that the African creative industry has huge potential to be a source of employment and revenue to create the Africa we want – revenue from intra-African trade as well as revenue from the rest of the world,” he said.  
	Muchanga urged African countries to convert its “vast potential’ into plans and projects that yielded tangible results, stressing the need to also invest in protecting international property rights. 
	Canex is an Afreximbank initiative aimed at supporting Africa and the African Diaspora’s creative and cultural industries by providing financing and non-financing instruments to boost growth.  
	The seven-day Canex Summit is taking place within the confines of IATF2023, Africa’s largest trade and investment fair, which is running from November 9 to 15 in Cairo. 
	Pan-African financial institution Afreximbank was created in 1993 under the auspices of the African Development Bank.  
	It is headquartered in Cairo and has regional offices in the capitals of Zimbabwe, the Ivory Coast, Uganda, Nigeria and Cameroon. Subscribe to Deadline Breaking News Alerts and keep your inbox happy.","afreximbank is gearing up to launch a $1B African Film Fund in 2024. the fund will oversee film financing, co-finance with large studios, finance filmmakers and directors of film projects across the continent. the film and audiovisual industries in Africa currently accounted for $5B of the african continent’s GDP.",very positive,Politics,Finance,Environment,4
news wrap biden xi set meet economic summit san francisco,Biztoc.com,https://biztoc.com/x/48a7aeb4d8a60fe1,news wrap friday biden china president xi prepare meet next week biden formally entered first 2024 democratic primary fbi seized devices new york mayor adams amid campaign finance investigation france north africa strugg,news wrap friday biden chinas president xi prepare meet next week biden formally entered first 2024 democratic primary fbi seized devices new york mayor adams amid cam 251 chars,2023-11-11T00:00:08Z,news wrap biden xi set meet economic summit san francisco news wrap friday biden china president xi prepare meet next week biden formally entered first 2024 democratic primary fbi seized devices new york mayor adams amid campaign finance investigation france north africa strugg news wrap friday biden chinas president xi prepare meet next week biden formally entered first 2024 democratic primary fbi seized devices new york mayor adams amid cam 251 chars,news wrap biden xi set meet economic summit san francisco news wrap friday biden china president xi prepare meet next week biden formally entered first 2024 democratic primary fbi seized devices new york mayor adams amid campaign finance investigation france north africa strugg news wrap friday biden chinas president xi prepare meet next week biden formally entered first 2024 democratic primary fbi seized devices new york mayor adams amid campaign finance investigation france north,very negative,Other,Environment,Entertainment,0
one year peace holds tigray ethiopia still fractured,Al Jazeera English,https://www.aljazeera.com/gallery/2023/11/2/photos-one-year-on-peace-holds-in-tigray-but-ethiopia-still-fractured,cost reconstruction battle scarred northern region estimated 20bn,accord signed year ago rivals ethiopias tigray war brought peace shattered region ignited yet another conflict increasingly fractured nation november 20 1231 chars,2023-11-02T11:16:42Z,"In Pictures An accord signed a year ago between the rivals in Ethiopia’s Tigray war has brought peace to the shattered region but ignited yet another conflict in the increasingly fractured nation. In November 2022, Ethiopia’s federal government and the rebellious authorities of Tigray agreed to a ceasefire during talks in South Africa after two years of bloodshed and atrocities that killed hundreds of thousands of people. With the guns silent at last, Ethiopia’s northern region has begun the task of rebuilding. “I am surprised how fast the situation changed in one year. … We are still far from pre-war, but it improved quite a bit,” said one member of a non-governmental organisation active in Tigray who requested anonymity to freely discuss the situation. The war, which also drew in Eritrean forces, inflicted terrible damage on the region. Ethiopian Finance Minister Ahmed Shide recently estimated the cost of reconstruction in the battle-scarred north at $20bn. Outside Tigray’s capital, Mekele, the restoration of electricity, telecommunications and banking services has been “very slow and gradual”, said a teacher at a university in the region who asked not to be identified. Close to 90 percent of Tigray’s health facilities were damaged or destroyed in the conflict, according to a World Health Organization (WHO) report. “Health facilities were looted. For some, you only still have a shell, a concrete shell,” the NGO worker said.","the war inflicted terrible damage on the region. the restoration of electricity, telecommunications and banking services has been “very slow and gradual” a teacher in the region asked not to be identified.",very negative,Environment,Politics,Technology,0
ghana african cinema summit sets speaker lineup including imax exec local exhibition heads,Deadline,https://deadline.com/2023/10/african-cinema-summit-ghana-imax-filmone-group-silverbird-cinema-2023-1235582133/,exclusive national film authority ghana nfa set lineup inaugural africa cinema summit acs accra hosted partnership filmone group nigeria silverbird cinema ghana summit set take place mövenpic,exclusive national film authority ghana nfa set lineup inaugural africa cinema summit acs accra hosted partnership filmone group nigeria silverbird cine 6539 chars,2023-10-25T13:00:00Z,"
EXCLUSIVE: The National Film Authority of Ghana has set the lineup for it’s inaugural Africa Cinema Summit in Accra, hosted in partnership with Filmhouse Group (Nigeria) and Silverbird Cinema (Ghana).  
	The summit is set to take place at the Mövenpick Ambassador Hotel and Silverbird Cinema in the Ghanaian capital November 14-16. Official partners of the summit include Warner Bros, the Cinema Exhibitors Association of Nigeria, Century Cinemax, Ster-Kinekor, Icon Mann, Unesco, Entertainment Solution Services, Delta Airlines, Locations Africa and Qube Wir. 





	
	
		
					Related Stories		
	













	News
	



	
		
					2023 Premiere Dates For New & Returning Series On Broadcast, Cable & Streaming		
			















	News
	



	
		
					'Dune: Part Two' Release Moved Up By Two Weeks - Update		
			






 
	Speakers heading to Accra include John Michael Schreiner, senior vice president of theatre development, Imax Corp, Europe, Middle East, and Africa. He will be joined by Juliet Yaa Asantewaa Asante, CEO of the National Film Authority of Ghana, and convener of the summit. Asante was previously board chair of the National Film and Television Institute of Ghana and the founding president of the Black Star International Film Institute, organizers of the Black Star International Film Festival. Moses Babatope, co-founder and deputy managing director of the Filmhouse Group, and Funmi Onuma, country manager of Silverbird Cinema, Ghana, will also be in attendance. 

	








 
	Other notable speakers include Ope Ajayi, distributor at Cinemax and president of the Cinema Exhibitors Association of Nigeria; Rob Arthur, co-founder and director of Entertainment Solution Services Ltd and Paguro Ideas Ltd (formerly Digital Cinema Solutions Ltd); Marie Lora-Mungai, investor, strategic advisor, and entrepreneur specializing in the African creative industries and sports business; and Chief Alhassan Andani, founder and executive chairman of LVSafrica Limited.

 
	Scroll down for the full list of speakers and their bios.   
	Key highlights of the event will include a showcase of contemporary African films alongside industry-focused sessions such as tailored business matchmaking events, panel discussions, keynote speeches by African industry leaders, and dedicated networking sessions for visitors. 
	“There are critical issues in the African cinema landscape that need to be properly discussed,” Asante said. “We are excited to have such an outstanding lineup of speakers for the Africa Cinema Summit. The summit is result-oriented, and the crucial indicator for success is an increase in screen numbers as many Ghanaians and Africans, by extension, demand the cinema-going experience.”

	








 
Africa Cinema Summit speakers list: 
	· Juliet Yaa Asantewaa Asante –CEO of the National Film Authority of Ghana, and convener of the Africa Cinema Summit, previously Board Chair of the National Film and Television Institute (NAFTI) of Ghana and the Founding President of the Black Star International Film Institute, organizers of the Black Star International Film Festival (BSIFF). Yaa Asantewa is also an award-winning Writer, Producer, Director and Actress, winning Best Actress in Ghana in 2001. She was the first to introduce short Films made for mobile phones in Ghana, working with MTN Ghana to launch her brand Mobilefliks in 2013. She produced some very successful television shows and served on the World Economic Forum’s Entertainment Council. 
	· Moses Babatope – co-founder and Deputy Managing Director of the Filmhouse Group (Owners of Filmhouse Cinemas and FilmOne Entertainment). He has over 20 years of experience in film exhibition, production, distribution, marketing, and Cinema operations management gained from several markets including the United Kingdom and Nigeria. 
	· Funmi Onuma – country manager of Silverbird Cinema, Ghana (SBCG). Under her leadership, SBCG set the record of being the highest-grossing cinema in the whole of West Africa for “Black Panther” in 2018 and the second highest-grossing cinema in Africa. This was topped by record numbers for “Avengers: Infinity War”, “Avengers: Endgame” and “Hobbs and Shaw”. Funmi has been recognized as one of the top 50 women in global cinema by Celluloid Junkie for three consecutive years. 
	· John Michael Schreiner – Senior Vice President, Théâtre Development, IMAX Corporation, Europe, Middle East, and Africa. 
	· Marie Lora-Mungai –investor, strategic advisor, and entrepreneur specializing in the African Creative Industries and Sports Business, with 18 years of experience spanning 27 countries on the continent. Her advisory firm Restless Global provides solutions to international companies, institutions and investors seeking to expand to Africa, and has worked for clients such as Warner Bros., UNESCO, Twitter Films, TRACE, FilmOne Entertainment, Rainbow Sports Global, Olympia Le Tan, Galeries Lafayette, the governments of France and Nigeria, and development banks IFC, AFD, Proparco, AfDB and Afreximbank. 
	· Ope Ajayi – distributor at the CINEMAS and the President of the Cinema Exhibitors Association of Nigeria. A Senior Executive with over 20 years of experience Covering Finance, Hospitality, Cinemas & Entertainment. 
	· Rob Arthur – Co-founder and Director of Entertainment Solution Services Ltd “ESS” and Paguro Ideas Ltd (formerly Digital Cinema Solutions Ltd) which was established in 2012. Rob has worked in the UK and International Cinema sectors for over 30 years with companies such as Vue Entertainment, SBC International Cinemas; Warner Village Cinemas and UCI. 
	· Jotham Micah –Marketing Manager, East Africa, at Century Pictures Limited with several years of experience working in the Cinema ecosystem in Africa. 
	· Ojoma Ochai- co-founder and Managing Partner of the Creative Economy Practice at CcHUB, which focuses on creative economy growth in Africa through investments and support for creative entrepreneurs through investment readiness, ecosystem development and research programmes. 
	· Motheo Matsau – Ster-Kinekor in 2016 as Chief Marketing and Sales Officer after a sound career as a marketer in organisations such as Unilever, Standard Bank and MultiChoice amongst others. In September 2019 Motheo was promoted to the role of Deputy CEO. In his new role, Motheo retained oversight of Ster-Kinekor’s Marketing and Sales functions, while taking on additional leadership responsibilities including the growth of local and pan-African content and audiences.

	








 
	· Irene Kaggwa Sewankambo – Ugandan Corporate Executive, who has served as the Acting Executive Director of the Uganda Communications Commission (UCC) since 10 February 2020. 
	· Chief Alhassan Andani – Founder and Executive Chairman of LVSafrica Limited. He has over twenty (20) years of Executive Experience including fourteen (14) years as CEO of Stanbic Bank Ghana. He also served as Barclays Bank Ghana’s Deputy Managing Director and Executive Director. Subscribe to Deadline Breaking News Alerts and keep your inbox happy.","the summit is set to take place at the Mövenpick Ambassador Hotel and Silverbird Cinema in the Ghanaian capital November 14-16. official partners include Warner Bros, the Cinema Exhibitors Association of Nigeria, Century Cinemax, Ster-Kinekor, Icon Mann, Unesco, Entertainment Solution Services, Delta Airlines, Qube Wir.",positive,Environment,Politics,Technology,3
trifecta opportunity fintech agritech aerotech africa,Forbes,https://www.forbes.com/sites/forbesbusinesscouncil/2023/11/01/a-trifecta-of-opportunity-in-fintech-agritech-and-aerotech-in-africa/,believe entrepreneurs recognize interconnected potential fintech agritech aerotech africa contribute continent renaissance,henri al helaly business strategist entrepreneur coo skytex aero getty vast diverse continent africa pivots toward tech centric future see three sectors standing f 7148 chars,2023-11-01T11:45:00Z,trifecta opportunity fintech agritech aerotech africa believe entrepreneurs recognize interconnected potential fintech agritech aerotech africa contribute continent renaissance henri al helaly business strategist entrepreneur coo skytex aero getty vast diverse continent africa pivots toward tech centric future see three sectors standing f 7148 chars,entrepreneurs recognize interconnected potential fintech agritech aerotech africa contribute continent renaissance henri al helaly business strategist entrepreneur coo skytex aero getty vast diverse continent africa pivot toward tech centric future see three sectors standing f 7148 chars.,very positive,Politics,Politics,Technology,4
