author,title,description,url,urlToImage,publishedAt,content,source_id,source_name
Filip De Mott,Bond markets could see 'mini boom-bust cycles' as global government debt to soar by $5 trillion a year,"""An abrupt surge in government expenditures during this global election cycle could further increase the interest burden for many sovereign debtors""",https://markets.businessinsider.com/news/bonds/bond-markets-global-debt-boom-bust-cycle-iif-fixed-income-2023-11,https://i.insider.com/655678a936d588dc55d1e422?width=1200&format=jpeg,2023-11-16T20:49:44Z,"wsmahar/Getty Images
<ul>
<li>Global bond markets will face ""mini boom-bust cycles,"" the Institute of International Finance said.</li>
<li>Growing deficits will be made more extreme by next year's e… [+2243 chars]",business-insider,Business Insider
Aryn Baker,Ellen Johnson Sirleaf Is Forging a New Path for the Next Generation of Women Leaders,The Nobel Prize laureate and former president of Liberia fosters women's public service leadership through her Amujae Initiative.,https://time.com/6333021/ellen-johnson-sirleaf-time100-impact-awards/,https://api.time.com/wp-content/uploads/2023/11/time100-impact-awards-rwanda-ellen-johnson-sirleaf.jpg?quality=85,2023-11-09T12:59:48Z,Ellen Johnson Sirleaf wouldnt want other women to have to follow in her footsteps. That doesnt mean she wont encourage them to run for office. Its just that she wishes it could be less arduous for th… [+4042 chars],time,Time
wsj.com,Publicis Names New Finance Chief,"Publicis Group appointed Loris Nold , the current head of its operations in Europe, the Middle East and Africa, as chief financial officer, replacing Michel-Alain Proch . The Paris-based advertising group said Proch, who joined the company in 2021, will step …",https://biztoc.com/x/953a69a2e301e611,https://c.biztoc.com/p/953a69a2e301e611/s.webp,2023-11-16T08:26:06Z,"Publicis Group appointed Loris Nold , the current head of its operations in Europe, the Middle East and Africa, as chief financial officer, replacing Michel-Alain Proch .The Paris-based advertising g… [+275 chars]",null,Biztoc.com
Tsitsi Masiyiwa,How Africa Can Make the Most of Diaspora Finance,"Remittances by the African diaspora might lack the structure and formality of traditional philanthropy, but they play a central role in keeping people out of poverty and advancing community prosperity. Formal donors should be seeking ways to amplify their imp…",https://www.project-syndicate.org/commentary/increasing-impact-of-diaspora-remittances-in-africa-by-tsitsi-masiyiwa-2023-10,https://webapi.project-syndicate.org/library/38c3e37802d8b78f23d334e3d47154fa.2-1-super.1.jpg,2023-10-30T12:00:40Z,"Remittances by the African diaspora might lack the structure and formality of traditional philanthropy, but they play a central role in keeping people out of poverty and advancing community prosperit… [+5753 chars]",null,Project Syndicate
Sydney Chisi,COP28 must not repeat the mistakes of the Africa Climate Summit,Lobbyists for big emitters in the Global North must not be allowed to push false solutions on COP28.,https://www.aljazeera.com/opinions/2023/11/18/cop28-must-not-repeat-the-mistakes-of-the-africa-climate-summit,https://www.aljazeera.com/wp-content/uploads/2023/11/2023-09-05T125645Z_961713740_RC2B23ATSFUT_RTRMADP_3_CLIMATE-CHANGE-AFRICA-1700312320.jpg?resize=1920%2C1440,2023-11-18T13:07:34Z,"In late November, the 2023 United Nations Climate Change Conference (COP28) will be launched in Dubai. Coming at the end of a year which broke multiple heat records, the event is supposed to set the … [+4887 chars]",al-jazeera-english,Al Jazeera English
Melanie Goodfellow,Pan-African Financial Institution Afreximbank Poised To Launch $1B African Film Fund,"Cairo-based African Export-Import Bank, also known as Afreximbank, is gearing up to launch a $1B African Film Fund in 2024 to support the continent’s burgeoning film industry. Kanayo Awani, Executive Vice President of Afreximbank’s Intra-African Trade Bank, a…",https://deadline.com/2023/11/pan-african-financial-institution-afreximbank-1-billion-dollar-african-film-fund-1235599337/,https://deadline.com/wp-content/uploads/2023/11/MixCollage-10-Nov-2023-02-09-PM-1693.jpg?w=1024,2023-11-10T14:20:45Z,"Cairo-based African Export-Import Bank, also known as Afreximbank, is gearing up to launch a $1B African Film Fund in 2024 to support the continent’s burgeoning film industry.
Kanayo Awani, Executiv… [+3436 chars]",null,Deadline
pbs.org,"News Wrap: Biden, Xi set to meet at economic summit in San Francisco","In our news wrap Friday, Biden and China’s President Xi prepare to meet next week, Biden formally entered the first 2024 Democratic primary, the FBI seized devices from New York Mayor Adams amid a campaign finance investigation, France and North Africa strugg…",https://biztoc.com/x/48a7aeb4d8a60fe1,https://c.biztoc.com/p/48a7aeb4d8a60fe1/s.webp,2023-11-11T00:00:08Z,"In our news wrap Friday, Biden and Chinas President Xi prepare to meet next week, Biden formally entered the first 2024 Democratic primary, the FBI seized devices from New York Mayor Adams amid a cam… [+251 chars]",null,Biztoc.com
Al Jazeera,"One year on, peace holds in Tigray, but Ethiopia still fractured",The cost of reconstruction in the battle-scarred northern region is estimated at $20bn.,https://www.aljazeera.com/gallery/2023/11/2/photos-one-year-on-peace-holds-in-tigray-but-ethiopia-still-fractured,https://www.aljazeera.com/wp-content/uploads/2023/11/33ZN69Q-highres-1698909081.jpg?resize=1920%2C1440,2023-11-02T11:16:42Z,"An accord signed a year ago between the rivals in Ethiopias Tigray war has brought peace to the shattered region but ignited yet another conflict in the increasingly fractured nation.
In November 20… [+1231 chars]",al-jazeera-english,Al Jazeera English
Zac Ntim,Ghana’s African Cinema Summit Sets Speaker Lineup Including IMAX Exec & Local Exhibition Heads,"EXCLUSIVE: The National Film Authority of Ghana (NFA) has set the lineup for it’s inaugural Africa Cinema Summit (ACS) in Accra, hosted in partnership with FilmOne Group (Nigeria) and Silverbird Cinema (Ghana).  The summit is set to take place at the Mövenpic…",https://deadline.com/2023/10/african-cinema-summit-ghana-imax-filmone-group-silverbird-cinema-2023-1235582133/,https://deadline.com/wp-content/uploads/2023/10/Collage-Maker-25-Oct-2023-07-29-AM-6304-e1698186610758.jpg?w=1024,2023-10-25T13:00:00Z,"EXCLUSIVE: The National Film Authority of Ghana (NFA) has set the lineup for it’s inaugural Africa Cinema Summit (ACS) in Accra, hosted in partnership with FilmOne Group (Nigeria) and Silverbird Cine… [+6539 chars]",null,Deadline
"Henri Al Helaly, Forbes Councils Member, 
 Henri Al Helaly, Forbes Councils Member
 https://www.forbes.com/sites/forbesbusinesscouncil/people/henrialhelaly/","A Trifecta Of Opportunity In Fintech, Agritech And Aerotech In Africa","I believe entrepreneurs who recognize the interconnected potential of fintech, agritech and aerotech in Africa can contribute to the continent's renaissance.",https://www.forbes.com/sites/forbesbusinesscouncil/2023/11/01/a-trifecta-of-opportunity-in-fintech-agritech-and-aerotech-in-africa/,https://imageio.forbes.com/specials-images/imageserve/6541057997864c72658c2f12/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2023-11-01T11:45:00Z,"Henri Al Helaly, Business Strategist and Entrepreneur, COO at Skytex Aero.
getty
As the vast and diverse continent of Africa pivots toward a tech-centric future, I see three sectors standing out: f… [+7148 chars]",null,Forbes
